,Pos,Age,Starts,Player,urls,scouting_url,match_logs,position_group
21,FW,29.0,5,Sebastien Haller,https://fbref.com/en/players/ba115a40/Sebastien-Haller,https://fbref.com/en/players/ba115a40/scout/365_m1/Sebastien-Haller-Scouting-Report,https://fbref.com/en/players/ba115a40/matchlogs/2022-2023/summary/Sebastien-Haller-Match-Logs,Forwards
22,FW,18.0,4,Youssoufa Moukoko,https://fbref.com/en/players/6ce43701/Youssoufa-Moukoko,https://fbref.com/en/players/6ce43701/scout/365_m1/Youssoufa-Moukoko-Scouting-Report,https://fbref.com/en/players/6ce43701/matchlogs/2022-2023/summary/Youssoufa-Moukoko-Match-Logs,Forwards
23,DF,23.0,2,Mateu Morey,https://fbref.com/en/players/5fd5e542/Mateu-Morey,https://fbref.com/en/players/5fd5e542/scout/365_m1/Mateu-Morey-Scouting-Report,https://fbref.com/en/players/5fd5e542/matchlogs/2022-2023/summary/Mateu-Morey-Match-Logs,Defender
24,"MF,FW",20.0,1,Gio Reyna,https://fbref.com/en/players/7fa4e703/Gio-Reyna,https://fbref.com/en/players/7fa4e703/scout/365_m1/Gio-Reyna-Scouting-Report,https://fbref.com/en/players/7fa4e703/matchlogs/2022-2023/summary/Gio-Reyna-Match-Logs,Attacking Midfielders
25,DF,23.0,1,Antonios Papadopoulos,https://fbref.com/en/players/13d23b29/Antonios-Papadopoulos,https://fbref.com/en/players/13d23b29/scout/365_m1/Antonios-Papadopoulos-Scouting-Report,https://fbref.com/en/players/13d23b29/matchlogs/2022-2023/summary/Antonios-Papadopoulos-Match-Logs,Defender
26,"MF,FW",17.0,1,Kjell Arik Watjen,https://fbref.com/en/players/0e006cae/Kjell-Arik-Watjen,https://fbref.com/en/players/0e006cae/scout/365_m1/Kjell-Arik-Watjen-Scouting-Report,https://fbref.com/en/players/0e006cae/matchlogs/2022-2023/summary/Kjell-Arik-Watjen-Match-Logs,Attacking Midfielders
27,MF,22.0,0,Ole Pohlmann,https://fbref.com/en/players/822b83e8/Ole-Pohlmann,https://fbref.com/en/players/822b83e8/scout/365_m1/Ole-Pohlmann-Scouting-Report,https://fbref.com/en/players/822b83e8/matchlogs/2022-2023/summary/Ole-Pohlmann-Match-Logs,Central Midfielders
28,FW,19.0,0,Samuel Bamba,https://fbref.com/en/players/489d4867/Samuel-Bamba,https://fbref.com/en/players/489d4867/scout/365_m1/Samuel-Bamba-Scouting-Report,https://fbref.com/en/players/489d4867/matchlogs/2022-2023/summary/Samuel-Bamba-Match-Logs,Forwards
29,DF,18.0,0,Hendry Blank,https://fbref.com/en/players/76abb354/Hendry-Blank,https://fbref.com/en/players/76abb354/scout/365_m1/Hendry-Blank-Scouting-Report,https://fbref.com/en/players/76abb354/matchlogs/2022-2023/summary/Hendry-Blank-Match-Logs,Defender
30,"FW,MF",17.0,0,Julien Duranville,https://fbref.com/en/players/b06a7ae9/Julien-Duranville,https://fbref.com/en/players/b06a7ae9/scout/365_m1/Julien-Duranville-Scouting-Report,https://fbref.com/en/players/b06a7ae9/matchlogs/2022-2023/summary/Julien-Duranville-Match-Logs,Attacking Midfielders
31,DF,30.0,0,Thorgan Hazard,https://fbref.com/en/players/50871bcc/Thorgan-Hazard,https://fbref.com/en/players/50871bcc/scout/365_m1/Thorgan-Hazard-Scouting-Report,https://fbref.com/en/players/50871bcc/matchlogs/2022-2023/summary/Thorgan-Hazard-Match-Logs,Defender
