,Player,Nation,Pos,Age,new_pound_value
9,Sammie Szmodics,ie IRL,"FW,MF",28.0,25000
10,Chiedozie Ogbene,ie IRL,FW,27.0,25000
11,Christian Walton,eng ENG,GK,28.0,20000
12,Liam Delap,,CF,21.0,20000
13,Conor Chaplin,eng ENG,"MF,FW",27.0,15000
14,Conor Townsend,eng ENG,DF,31.0,15000
15,Massimo Luongo,au AUS,MF,31.0,10000
16,Ali Al Hamadi,iq IRQ,FW,22.0,10000
17,Wes Burns,wls WAL,"FW,DF",29.0,10000
18,Jack Taylor,ie IRL,MF,26.0,10000
19,Harry Clarke,,RB,23.0,10000
20,Cameron Burgess,au AUS,DF,28.0,8000
21,Luke Woolfenden,eng ENG,DF,25.0,7500
22,Marcus Harness,eng ENG,MF,28.0,6346
23,Nathan Broadhead,wls WAL,"MF,FW",26.0,6000
24,Omari Hutchinson,,RW,20.0,6000
25,Cieran Slicker,,GK,22.0,3000
26,Elkan Baggott,,CB,22.0,1500
27,Cameron Humphreys,,CM,21.0,1000
0,Daichi Kamada,jp JPN,MF,27.0,105000
1,Eberechi Eze,eng ENG,"MF,FW",26.0,100000
2,Dean Henderson,eng ENG,GK,27.0,100000
3,Eddie Nketiah,eng ENG,"FW,MF",25.0,90000
4,Cheick Doucouré,ml MLI,MF,24.0,70000
5,Ismaila Sarr,sn SEN,MF,26.0,70000
6,Jefferson Lerma,co COL,"MF,DF",29.0,70000
7,Jeffrey Schlupp,gh GHA,"MF,DF",31.0,60000
8,Chris Richards,us USA,DF,24.0,55000
9,Jean-Philippe Mateta,fr FRA,FW,27.0,50000
10,Nathaniel Clyne,eng ENG,"DF,MF",33.0,50000
11,Maxence Lacroix,fr FRA,DF,24.0,50000
12,Marc Guéhi,eng ENG,DF,24.0,50000
13,Trevoh Chalobah,eng ENG,DF,25.0,50000
14,Will Hughes,eng ENG,MF,29.0,50000
15,Rob Holding,eng ENG,DF,28.0,45000
16,Daniel Muñoz,co COL,DF,28.0,45000
17,Tyrick Mitchell,eng ENG,DF,24.0,40000
18,Matheus França,,AM,20.0,40000
19,Matt Turner,us USA,GK,30.0,40000
20,Joel Ward,eng ENG,DF,34.0,35000
21,Adam Wharton,,DM,20.0,35000
22,Chadi Riad,,CB,21.0,30000
23,Joe Whitworth,,GK,20.0,10000
24,Remi Matthews,eng ENG,GK,30.0,7500
25,Jesurun Rak-Sakyi,,RW,22.0,7500
26,Louie Moulden,eng ENG,GK,22.0,5000
0,Jamie Vardy,eng ENG,FW,37.0,140000
