,Pos,Age,Starts,Player,urls,scouting_url,match_logs,position_group
10,MF,25.087671232876712,13,Orel Mangala,https://fbref.com/en/players/a572e291/Orel-Mangala,https://fbref.com/en/players/a572e291/scout/365_m1/Orel-Mangala-Scouting-Report,https://fbref.com/en/players/a572e291/matchlogs/2022-2023/summary/Orel-Mangala-Match-Logs,Central Midfielders
11,"FW,MF",30.34246575342466,12,Jesse Lingard,https://fbref.com/en/players/810e3c74/Jesse-Lingard,https://fbref.com/en/players/810e3c74/scout/365_m1/Jesse-Lingard-Scouting-Report,https://fbref.com/en/players/810e3c74/matchlogs/2022-2023/summary/Jesse-Lingard-Match-Logs,Attacking Midfielders
12,GK,36.342465753424655,11,Keylor Navas,https://fbref.com/en/players/ecada4fc/Keylor-Navas,https://fbref.com/en/players/ecada4fc/scout/365_m1/Keylor-Navas-Scouting-Report,https://fbref.com/en/players/ecada4fc/matchlogs/2022-2023/summary/Keylor-Navas-Match-Logs,GK
13,DF,32.0,11,Steve Cook,https://fbref.com/en/players/3e5e4e63/Steve-Cook,https://fbref.com/en/players/3e5e4e63/scout/365_m1/Steve-Cook-Scouting-Report,https://fbref.com/en/players/3e5e4e63/matchlogs/2022-2023/summary/Steve-Cook-Match-Logs,Defender
14,FW,25.684931506849313,10,Taiwo Awoniyi,https://fbref.com/en/players/e5478b87/Taiwo-Awoniyi,https://fbref.com/en/players/e5478b87/scout/365_m1/Taiwo-Awoniyi-Scouting-Report,https://fbref.com/en/players/e5478b87/matchlogs/2022-2023/summary/Taiwo-Awoniyi-Match-Logs,Forwards
15,MF,33.326027397260276,10,Cheikhou Kouyate,https://fbref.com/en/players/8d3c902d/Cheikhou-Kouyate,https://fbref.com/en/players/8d3c902d/scout/365_m1/Cheikhou-Kouyate-Scouting-Report,https://fbref.com/en/players/8d3c902d/matchlogs/2022-2023/summary/Cheikhou-Kouyate-Match-Logs,Central Midfielders
16,DF,33.92602739726027,9,Felipe,https://fbref.com/en/players/51a3c4c8/Felipe,https://fbref.com/en/players/51a3c4c8/scout/365_m1/Felipe-Scouting-Report,https://fbref.com/en/players/51a3c4c8/matchlogs/2022-2023/summary/Felipe-Match-Logs,Defender
17,DF,27.665753424657535,9,Harry Toffolo,https://fbref.com/en/players/a105d46a/Harry-Toffolo,https://fbref.com/en/players/a105d46a/scout/365_m1/Harry-Toffolo-Scouting-Report,https://fbref.com/en/players/a105d46a/matchlogs/2022-2023/summary/Harry-Toffolo-Match-Logs,Defender
18,DF,32.205479452054796,8,Willy Boly,https://fbref.com/en/players/a4ac4b8f/Willy-Boly,https://fbref.com/en/players/a4ac4b8f/scout/365_m1/Willy-Boly-Scouting-Report,https://fbref.com/en/players/a4ac4b8f/matchlogs/2022-2023/summary/Willy-Boly-Match-Logs,Defender
19,DF,27.115068493150684,7,Moussa Niakhate,https://fbref.com/en/players/00242715/Moussa-Niakhate,https://fbref.com/en/players/00242715/scout/365_m1/Moussa-Niakhate-Scouting-Report,https://fbref.com/en/players/00242715/matchlogs/2022-2023/summary/Moussa-Niakhate-Match-Logs,Defender
20,"FW,MF",25.424657534246574,6,Emmanuel Dennis,https://fbref.com/en/players/2c44a35d/Emmanuel-Dennis,https://fbref.com/en/players/2c44a35d/scout/365_m1/Emmanuel-Dennis-Scouting-Report,https://fbref.com/en/players/2c44a35d/matchlogs/2022-2023/summary/Emmanuel-Dennis-Match-Logs,Attacking Midfielders
21,MF,24.512328767123286,6,Lewis OBrien,https://fbref.com/en/players/089667a5/Lewis-OBrien,https://fbref.com/en/players/089667a5/scout/365_m1/Lewis-OBrien-Scouting-Report,https://fbref.com/en/players/089667a5/matchlogs/2022-2023/summary/Lewis-OBrien-Match-Logs,Central Midfielders
22,MF,31.13972602739726,6,Jonjo Shelvey,https://fbref.com/en/players/3727dd3c/Jonjo-Shelvey,https://fbref.com/en/players/3727dd3c/scout/365_m1/Jonjo-Shelvey-Scouting-Report,https://fbref.com/en/players/3727dd3c/matchlogs/2022-2023/summary/Jonjo-Shelvey-Match-Logs,Central Midfielders
23,MF,21.972602739726028,6,Danilo,https://fbref.com/en/players/a816dbfb/Danilo,https://fbref.com/en/players/a816dbfb/scout/365_m1/Danilo-Scouting-Report,https://fbref.com/en/players/a816dbfb/matchlogs/2022-2023/summary/Danilo-Match-Logs,Central Midfielders
24,FW,31.364383561643837,5,Chris Wood,https://fbref.com/en/players/4e9a0555/Chris-Wood,https://fbref.com/en/players/4e9a0555/scout/365_m1/Chris-Wood-Scouting-Report,https://fbref.com/en/players/4e9a0555/matchlogs/2022-2023/summary/Chris-Wood-Match-Logs,Forwards
25,MF,33.484931506849314,4,Jack Colback,https://fbref.com/en/players/963a9201/Jack-Colback,https://fbref.com/en/players/963a9201/scout/365_m1/Jack-Colback-Scouting-Report,https://fbref.com/en/players/963a9201/matchlogs/2022-2023/summary/Jack-Colback-Match-Logs,Central Midfielders
26,"MF,FW",29.284931506849315,2,Gustavo Scarpa,https://fbref.com/en/players/2964fd20/Gustavo-Scarpa,https://fbref.com/en/players/2964fd20/scout/365_m1/Gustavo-Scarpa-Scouting-Report,https://fbref.com/en/players/2964fd20/matchlogs/2022-2023/summary/Gustavo-Scarpa-Match-Logs,Attacking Midfielders
27,GK,36.23287671232877,2,Wayne Hennessey,https://fbref.com/en/players/76eca7e2/Wayne-Hennessey,https://fbref.com/en/players/76eca7e2/scout/365_m1/Wayne-Hennessey-Scouting-Report,https://fbref.com/en/players/76eca7e2/matchlogs/2022-2023/summary/Wayne-Hennessey-Match-Logs,GK
28,FW,24.726027397260275,1,Sam Surridge,https://fbref.com/en/players/b017b770/Sam-Surridge,https://fbref.com/en/players/b017b770/scout/365_m1/Sam-Surridge-Scouting-Report,https://fbref.com/en/players/b017b770/matchlogs/2022-2023/summary/Sam-Surridge-Match-Logs,Forwards
29,"FW,MF",33.33698630136986,1,Andre Ayew,https://fbref.com/en/players/5dbefa9d/Andre-Ayew,https://fbref.com/en/players/5dbefa9d/scout/365_m1/Andre-Ayew-Scouting-Report,https://fbref.com/en/players/5dbefa9d/matchlogs/2022-2023/summary/Andre-Ayew-Match-Logs,Attacking Midfielders
30,DF,23.052054794520547,0,Giulian Biancone,https://fbref.com/en/players/de40e38c/Giulian-Biancone,https://fbref.com/en/players/de40e38c/scout/365_m1/Giulian-Biancone-Scouting-Report,https://fbref.com/en/players/de40e38c/matchlogs/2022-2023/summary/Giulian-Biancone-Match-Logs,Defender
31,FW,21.02191780821918,0,Alexander Mighten,https://fbref.com/en/players/10ec4169/Alexander-Mighten,https://fbref.com/en/players/10ec4169/scout/365_m1/Alexander-Mighten-Scouting-Report,https://fbref.com/en/players/10ec4169/matchlogs/2022-2023/summary/Alexander-Mighten-Match-Logs,Forwards
32,MF,30.14246575342466,0,Cafu,https://fbref.com/en/players/85322440/Cafu,https://fbref.com/en/players/85322440/scout/365_m1/Cafu-Scouting-Report,https://fbref.com/en/players/85322440/matchlogs/2022-2023/summary/Cafu-Match-Logs,Central Midfielders
33,DF,23.02191780821918,0,Loic Bade,https://fbref.com/en/players/114bbdee/Loic-Bade,https://fbref.com/en/players/114bbdee/scout/365_m1/Loic-Bade-Scouting-Report,https://fbref.com/en/players/114bbdee/matchlogs/2022-2023/summary/Loic-Bade-Match-Logs,Defender
34,MF,20.43013698630137,0,Oliver Hammond,https://fbref.com/en/players/3766178e/Oliver-Hammond,https://fbref.com/en/players/3766178e/scout/365_m1/Oliver-Hammond-Scouting-Report,https://fbref.com/en/players/3766178e/matchlogs/2022-2023/summary/Oliver-Hammond-Match-Logs,Central Midfielders
35,DF,21.84931506849315,0,Loic Mbe Soh,https://fbref.com/en/players/8f534f8e/Loic-Mbe-Soh,https://fbref.com/en/players/8f534f8e/scout/365_m1/Loic-Mbe-Soh-Scouting-Report,https://fbref.com/en/players/8f534f8e/matchlogs/2022-2023/summary/Loic-Mbe-Soh-Match-Logs,Defender
36,GK,21.991780821917807,0,George Shelvey,https://fbref.com/en/players/5ab61aea/George-Shelvey,https://fbref.com/en/players/5ab61aea/scout/365_m1/George-Shelvey-Scouting-Report,https://fbref.com/en/players/5ab61aea/matchlogs/2022-2023/summary/George-Shelvey-Match-Logs,GK
37,GK,28.361643835616437,0,Jordan Smith,https://fbref.com/en/players/cfca9c4e/Jordan-Smith,https://fbref.com/en/players/cfca9c4e/scout/365_m1/Jordan-Smith-Scouting-Report,https://fbref.com/en/players/cfca9c4e/matchlogs/2022-2023/summary/Jordan-Smith-Match-Logs,GK
38,FW,19.350684931506848,0,Dale Taylor,https://fbref.com/en/players/d5094280/Dale-Taylor,https://fbref.com/en/players/d5094280/scout/365_m1/Dale-Taylor-Scouting-Report,https://fbref.com/en/players/d5094280/matchlogs/2022-2023/summary/Dale-Taylor-Match-Logs,Forwards
39,FW,33.057534246575344,0,Lyle Taylor,https://fbref.com/en/players/3e80e04e/Lyle-Taylor,https://fbref.com/en/players/3e80e04e/scout/365_m1/Lyle-Taylor-Scouting-Report,https://fbref.com/en/players/3e80e04e/matchlogs/2022-2023/summary/Lyle-Taylor-Match-Logs,Forwards
0,DF,22.767123287671232,30,Marc Guehi,https://fbref.com/en/players/d0706b27/Marc-Guehi,https://fbref.com/en/players/d0706b27/scout/365_m1/Marc-Guehi-Scouting-Report,https://fbref.com/en/players/d0706b27/matchlogs/2022-2023/summary/Marc-Guehi-Match-Logs,Defender
1,MF,23.276712328767122,28,Cheick Doucoure,https://fbref.com/en/players/ce4f40c7/Cheick-Doucoure,https://fbref.com/en/players/ce4f40c7/scout/365_m1/Cheick-Doucoure-Scouting-Report,https://fbref.com/en/players/ce4f40c7/matchlogs/2022-2023/summary/Cheick-Doucoure-Match-Logs,Central Midfielders
2,GK,36.271232876712325,27,Vicente Guaita,https://fbref.com/en/players/ab13a5aa/Vicente-Guaita,https://fbref.com/en/players/ab13a5aa/scout/365_m1/Vicente-Guaita-Scouting-Report,https://fbref.com/en/players/ab13a5aa/matchlogs/2022-2023/summary/Vicente-Guaita-Match-Logs,GK
3,"MF,FW",30.32054794520548,27,Jeffrey Schlupp,https://fbref.com/en/players/3312f911/Jeffrey-Schlupp,https://fbref.com/en/players/3312f911/scout/365_m1/Jeffrey-Schlupp-Scouting-Report,https://fbref.com/en/players/3312f911/matchlogs/2022-2023/summary/Jeffrey-Schlupp-Match-Logs,Attacking Midfielders
4,DF,23.63013698630137,27,Tyrick Mitchell,https://fbref.com/en/players/5cbd1eb0/Tyrick-Mitchell,https://fbref.com/en/players/5cbd1eb0/scout/365_m1/Tyrick-Mitchell-Scouting-Report,https://fbref.com/en/players/5cbd1eb0/matchlogs/2022-2023/summary/Tyrick-Mitchell-Match-Logs,Defender
